experiment_id	description	val_pearson_r	val_mae	loo_r	test_r	n_features	selected	notes
exp_304	Lasso alpha=0.1 k=2	0.645341	0.580335	0.619878	-0.484539	2	E2_chem_shape, E4_bio_pocket_polarity	alpha_tuning
exp_305	ElasticNet l1=0.1 k=2	0.662883	0.550929	0.703256	-0.490924	2	E2_chem_shape, E4_bio_pocket_polarity	ElasticNet
exp_306	ElasticNet l1=0.3 k=2	0.662362	0.551697	0.702089	-0.490777	2	E2_chem_shape, E4_bio_pocket_polarity	ElasticNet
exp_307	ElasticNet l1=0.5 k=2	0.661829	0.552468	0.700917	-0.490624	2	E2_chem_shape, E4_bio_pocket_polarity	ElasticNet
exp_308	ElasticNet l1=0.7 k=2	0.661285	0.553242	0.699741	-0.490466	2	E2_chem_shape, E4_bio_pocket_polarity	ElasticNet
exp_309	ElasticNet l1=0.9 k=2	0.660729	0.554019	0.698559	-0.490302	2	E2_chem_shape, E4_bio_pocket_polarity	ElasticNet
exp_310	Lasso physics_only k=2	0.660446	0.554409	0.697966	-0.490217	2	E2_chem_shape, E4_bio_pocket_polarity	subset=physics_only
exp_311	Lasso physics_only k=3	0.660436	0.554412	0.674180	-0.490214	3	E2_chem_shape, E4_bio_resolution_weight, E4_bio_pocket_polarity	subset=physics_only
exp_312	Lasso no_quantum k=2	0.660446	0.554409	0.697966	-0.490217	2	E2_chem_shape, E4_bio_family_hbond	subset=no_quantum
exp_313	Lasso no_quantum k=3	0.660436	0.554412	0.674180	-0.490214	3	E2_chem_shape, E4_bio_pocket_druggability, E4_bio_family_hbond	subset=no_quantum
exp_314	Lasso E1_only k=2	-0.691442	0.648848	-0.927540	0.687826	2	E1_vinardo_gauss1, E1_vinardo_hydrophobic	subset=E1_only
exp_315	Lasso E1_only k=3	-0.691442	0.648848	-0.927462	0.687826	3	E1_vinardo_gauss1, E1_vinardo_hydrophobic, E1_vinardo_hbond	subset=E1_only
exp_316	Lasso E2_only k=2	0.240683	0.599376	0.455505	-0.632208	2	E1_vinardo_affinity, E2_chem_pi_pi	subset=E2_only
exp_317	Lasso E2_only k=3	0.240676	0.599376	0.378639	-0.632211	3	E1_vinardo_hydrophobic, E1_vinardo_affinity, E2_chem_pi_pi	subset=E2_only
exp_318	Lasso E4_only k=2	0.574811	0.579459	0.626739	-0.205045	2	E1_vinardo_hbond, E2_chem_pi_pi	subset=E4_only
exp_319	Lasso E4_only k=3	0.681834	0.559482	0.643793	0.448511	3	E1_vinardo_hydrophobic, E1_vinardo_hbond, E2_chem_pi_pi	subset=E4_only
exp_320	Lasso E1+E2 k=2	0.601642	0.571580	0.440409	-0.506325	2	E1_vinardo_hydrophobic, E2_chem_shape	subset=E1+E2
exp_321	Lasso E1+E2 k=3	0.601645	0.571580	0.440409	-0.506325	3	E1_vinardo_gauss1, E1_vinardo_hydrophobic, E2_chem_shape	subset=E1+E2
exp_322	Lasso E2+E4 k=2	0.660446	0.554409	0.697966	-0.490217	2	E2_chem_pi_pi, E2_chem_lipophilic	subset=E2+E4
exp_323	Lasso E2+E4 k=3	0.660436	0.554412	0.674180	-0.490214	3	E2_chem_pi_pi, E2_chem_metal_coord, E2_chem_lipophilic	subset=E2+E4
