============================================================
GEOCK v2 - NEURAL NETWORK v2 (Chunked + LR Scheduling)
============================================================

[1] Loading MERGED data (39K samples)...
  39109 samples, 512 features
  Data scaled. Feature range: [-2.501, 9.048]

[2] 5-Fold CV with Chunked NN + LR Scheduling...
    (ReduceLROnPlateau: LR reduces when improvement stalls)
     Patience: 10 epochs for LR, 30 epochs for early stopping
============================================================
Using device: cpu


============================================================
FOLD 1/5
============================================================
Epoch  61/150 | Train: 0.6543 | Val: 0.6678 | R²: 0.8029 | LR: 0.001000
Epoch  62/150 | Train: 0.6365 | Val: 0.6590 | R²: 0.8031 | LR: 0.001000
Epoch  63/150 | Train: 0.6265 | Val: 0.6878 | R²: 0.8033 | LR: 0.001000
Epoch  64/150 | Train: 0.6229 | Val: 0.6628 | R²: 0.8030 | LR: 0.001000
Epoch  65/150 | Train: 0.6258 | Val: 0.6514 | R²: 0.8055 | LR: 0.001000
Epoch  66/150 | Train: 0.6116 | Val: 0.6703 | R²: 0.8049 | LR: 0.001000
Epoch  67/150 | Train: 0.6115 | Val: 0.6605 | R²: 0.8055 | LR: 0.001000
Epoch  68/150 | Train: 0.6053 | Val: 0.6512 | R²: 0.8052 | LR: 0.001000
Epoch  69/150 | Train: 0.6010 | Val: 0.6645 | R²: 0.8015 | LR: 0.001000
Epoch  70/150 | Train: 0.6019 | Val: 0.6611 | R²: 0.8056 | LR: 0.001000
Epoch  71/150 | Train: 0.5927 | Val: 0.6535 | R²: 0.8088 | LR: 0.001000
Epoch  72/150 | Train: 0.5858 | Val: 0.6494 | R²: 0.8067 | LR: 0.001000
Epoch  73/150 | Train: 0.5820 | Val: 0.6475 | R²: 0.8090 | LR: 0.001000
Epoch  74/150 | Train: 0.5894 | Val: 0.6418 | R²: 0.8092 | LR: 0.001000
Epoch  75/150 | Train: 0.5789 | Val: 0.6456 | R²: 0.8072 | LR: 0.001000
Epoch  76/150 | Train: 0.5804 | Val: 0.6768 | R²: 0.8054 | LR: 0.001000
