step,train,test,gap
0,4.404872573216756,4.464921363194784,0.06004878997802798
200,2.6211668153603873,2.62711976369222,0.005952948331832797
400,2.5708845122655233,2.534815899133682,-0.036068613131841065
600,2.489910266796748,2.5266530092557273,0.03674274245897946
800,2.532982442378998,2.5192180983225505,-0.013764344056447442
1000,2.4741173756122588,2.4785209159056345,0.004403540293375752
1200,2.4820420225461324,2.4834470856189728,0.0014050630728403846
1400,2.4164506471157075,2.413664617141088,-0.0027860299746196304
